,,Scenario,Region,Variable,Type,Year, electricity-generation-2023 ,electricity-capacity-2023
3516,Newfoundland and LabradorCanada Net-zeroWind2034,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2034, 194.50 ,54.3
3517,Newfoundland and LabradorCurrent MeasuresWind2034,Current Measures,Newfoundland and Labrador,Wind,Primary Fuel,2034, 194.50 ,54.3
3518,Newfoundland and LabradorGlobal Net-zeroWind2034,Global Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2034, 194.50 ,54.3
3519,Nova ScotiaCanada Net-zeroBiomass / Geothermal2034,Canada Net-zero,Nova Scotia,Biomass / Geothermal,Primary Fuel,2034, 52.02 ,112.56
3520,Nova ScotiaCurrent MeasuresBiomass / Geothermal2034,Current Measures,Nova Scotia,Biomass / Geothermal,Primary Fuel,2034, 369.01 ,112.56
3521,Nova ScotiaGlobal Net-zeroBiomass / Geothermal2034,Global Net-zero,Nova Scotia,Biomass / Geothermal,Primary Fuel,2034, 95.94 ,112.56
3522,Nova ScotiaCanada Net-zeroCoal & Coke2034,Canada Net-zero,Nova Scotia,Coal & Coke,Primary Fuel,2034, -   ,0
3523,Nova ScotiaCurrent MeasuresCoal & Coke2034,Current Measures,Nova Scotia,Coal & Coke,Primary Fuel,2034, -   ,0
3524,Nova ScotiaGlobal Net-zeroCoal & Coke2034,Global Net-zero,Nova Scotia,Coal & Coke,Primary Fuel,2034, -   ,0
3525,Nova ScotiaCanada Net-zeroHydro / Wave / Tidal2034,Canada Net-zero,Nova Scotia,Hydro / Wave / Tidal,Primary Fuel,2034, 296.57 ,389.35
3526,Nova ScotiaCurrent MeasuresHydro / Wave / Tidal2034,Current Measures,Nova Scotia,Hydro / Wave / Tidal,Primary Fuel,2034, 987.57 ,389.35
3527,Nova ScotiaGlobal Net-zeroHydro / Wave / Tidal2034,Global Net-zero,Nova Scotia,Hydro / Wave / Tidal,Primary Fuel,2034, 286.39 ,389.35
3528,Nova ScotiaCanada Net-zeroNatural Gas2034,Canada Net-zero,Nova Scotia,Natural Gas,Primary Fuel,2034, 59.44 ,1375.098935
3529,Nova ScotiaCurrent MeasuresNatural Gas2034,Current Measures,Nova Scotia,Natural Gas,Primary Fuel,2034," 5,621.15 ",1673.098253
3530,Nova ScotiaGlobal Net-zeroNatural Gas2034,Global Net-zero,Nova Scotia,Natural Gas,Primary Fuel,2034, 39.52 ,658.6962669
3531,Nova ScotiaCanada Net-zeroOil2034,Canada Net-zero,Nova Scotia,Oil,Primary Fuel,2034, -   ,222.3
3532,Nova ScotiaCurrent MeasuresOil2034,Current Measures,Nova Scotia,Oil,Primary Fuel,2034, -   ,222.3
3533,Nova ScotiaGlobal Net-zeroOil2034,Global Net-zero,Nova Scotia,Oil,Primary Fuel,2034, -   ,222.3
3534,Nova ScotiaCanada Net-zeroSolar2034,Canada Net-zero,Nova Scotia,Solar,Primary Fuel,2034, 16.45 ,0.365
3535,Nova ScotiaCurrent MeasuresSolar2034,Current Measures,Nova Scotia,Solar,Primary Fuel,2034, 9.82 ,0.365
3536,Nova ScotiaGlobal Net-zeroSolar2034,Global Net-zero,Nova Scotia,Solar,Primary Fuel,2034, 81.64 ,80.365
3537,Nova ScotiaCanada Net-zeroWind2034,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2034," 19,996.34 ",5003.18
3538,Nova ScotiaCurrent MeasuresWind2034,Current Measures,Nova Scotia,Wind,Primary Fuel,2034," 2,862.17 ",794.0013756
3539,Nova ScotiaGlobal Net-zeroWind2034,Global Net-zero,Nova Scotia,Wind,Primary Fuel,2034," 19,877.99 ",5003.18
3540,Northwest TerritoriesCanada Net-zeroHydro / Wave / Tidal2034,Canada Net-zero,Northwest Territories,Hydro / Wave / Tidal,Primary Fuel,2034, 548.73 ,115.4805
3541,Northwest TerritoriesCurrent MeasuresHydro / Wave / Tidal2034,Current Measures,Northwest Territories,Hydro / Wave / Tidal,Primary Fuel,2034, 319.04 ,115.4805
3542,Northwest TerritoriesGlobal Net-zeroHydro / Wave / Tidal2034,Global Net-zero,Northwest Territories,Hydro / Wave / Tidal,Primary Fuel,2034, 430.82 ,115.4805
3543,Northwest TerritoriesCanada Net-zeroNatural Gas2034,Canada Net-zero,Northwest Territories,Natural Gas,Primary Fuel,2034, 114.47 ,17.8
3544,Northwest TerritoriesCurrent MeasuresNatural Gas2034,Current Measures,Northwest Territories,Natural Gas,Primary Fuel,2034, -   ,17.8
3545,Northwest TerritoriesGlobal Net-zeroNatural Gas2034,Global Net-zero,Northwest Territories,Natural Gas,Primary Fuel,2034, 0.69 ,17.8
3546,Northwest TerritoriesCanada Net-zeroOil2034,Canada Net-zero,Northwest Territories,Oil,Primary Fuel,2034, 29.89 ,89.2
3547,Northwest TerritoriesCurrent MeasuresOil2034,Current Measures,Northwest Territories,Oil,Primary Fuel,2034, 12.24 ,120
3548,Northwest TerritoriesGlobal Net-zeroOil2034,Global Net-zero,Northwest Territories,Oil,Primary Fuel,2034, 6.51 ,89.2
3549,Northwest TerritoriesCanada Net-zeroSolar2034,Canada Net-zero,Northwest Territories,Solar,Primary Fuel,2034, 7.90 ,5.015
3550,Northwest TerritoriesCurrent MeasuresSolar2034,Current Measures,Northwest Territories,Solar,Primary Fuel,2034, 3.21 ,2.015
3551,Northwest TerritoriesGlobal Net-zeroSolar2034,Global Net-zero,Northwest Territories,Solar,Primary Fuel,2034, 3.70 ,2.015
3552,Northwest TerritoriesCanada Net-zeroWind2034,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2034, 35.49 ,19.62
3553,Northwest TerritoriesCurrent MeasuresWind2034,Current Measures,Northwest Territories,Wind,Primary Fuel,2034, 17.32 ,13.2
3554,Northwest TerritoriesGlobal Net-zeroWind2034,Global Net-zero,Northwest Territories,Wind,Primary Fuel,2034, 24.02 ,13.2
3555,NunavutCurrent MeasuresBiomass / Geothermal2034,Current Measures,Nunavut,Biomass / Geothermal,Primary Fuel,2034, -   ,0
3556,NunavutCanada Net-zeroOil2034,Canada Net-zero,Nunavut,Oil,Primary Fuel,2034, 334.30 ,70.28
3557,NunavutCurrent MeasuresOil2034,Current Measures,Nunavut,Oil,Primary Fuel,2034, 300.47 ,70.28
3558,NunavutGlobal Net-zeroOil2034,Global Net-zero,Nunavut,Oil,Primary Fuel,2034, 328.16 ,70.28
3559,NunavutCanada Net-zeroSolar2034,Canada Net-zero,Nunavut,Solar,Primary Fuel,2034, 2.77 ,2.033
3560,NunavutCurrent MeasuresSolar2034,Current Measures,Nunavut,Solar,Primary Fuel,2034, 2.45 ,2.033
3561,NunavutGlobal Net-zeroSolar2034,Global Net-zero,Nunavut,Solar,Primary Fuel,2034, 2.77 ,2.033
3562,NunavutCanada Net-zeroWind2034,Canada Net-zero,Nunavut,Wind,Primary Fuel,2034, 16.27 ,5.85
3563,NunavutCurrent MeasuresWind2034,Current Measures,Nunavut,Wind,Primary Fuel,2034, 16.27 ,5.763157895
3564,NunavutGlobal Net-zeroWind2034,Global Net-zero,Nunavut,Wind,Primary Fuel,2034, 16.27 ,5.735602094
3565,OntarioCanada Net-zeroBiomass / Geothermal2034,Canada Net-zero,Ontario,Biomass / Geothermal,Primary Fuel,2034," 1,770.08 ",765.2866667
3566,OntarioCurrent MeasuresBiomass / Geothermal2034,Current Measures,Ontario,Biomass / Geothermal,Primary Fuel,2034," 1,801.02 ",698.62
3567,OntarioGlobal Net-zeroBiomass / Geothermal2034,Global Net-zero,Ontario,Biomass / Geothermal,Primary Fuel,2034," 2,534.26 ",765.2866667
3568,OntarioCanada Net-zeroHydro / Wave / Tidal2034,Canada Net-zero,Ontario,Hydro / Wave / Tidal,Primary Fuel,2034," 40,752.79 ",10063.68
3569,OntarioCurrent MeasuresHydro / Wave / Tidal2034,Current Measures,Ontario,Hydro / Wave / Tidal,Primary Fuel,2034," 37,656.63 ",9263.68
3570,OntarioGlobal Net-zeroHydro / Wave / Tidal2034,Global Net-zero,Ontario,Hydro / Wave / Tidal,Primary Fuel,2034," 40,793.53 ",10063.68
3571,OntarioCanada Net-zeroNatural Gas2034,Canada Net-zero,Ontario,Natural Gas,Primary Fuel,2034," 6,367.23 ",20732.30998
3572,OntarioCurrent MeasuresNatural Gas2034,Current Measures,Ontario,Natural Gas,Primary Fuel,2034," 14,420.46 ",14675.63432
3573,OntarioGlobal Net-zeroNatural Gas2034,Global Net-zero,Ontario,Natural Gas,Primary Fuel,2034," 11,441.17 ",22269.46235
3574,OntarioCanada Net-zeroOil2034,Canada Net-zero,Ontario,Oil,Primary Fuel,2034, 13.66 ,228.45
3575,OntarioCurrent MeasuresOil2034,Current Measures,Ontario,Oil,Primary Fuel,2034, 13.66 ,228.45
3576,OntarioGlobal Net-zeroOil2034,Global Net-zero,Ontario,Oil,Primary Fuel,2034, 13.66 ,228.45
3577,OntarioCanada Net-zeroSolar2034,Canada Net-zero,Ontario,Solar,Primary Fuel,2034," 9,644.83 ",3016.183277
3578,OntarioCurrent MeasuresSolar2034,Current Measures,Ontario,Solar,Primary Fuel,2034," 8,711.23 ",2669.46
3579,OntarioGlobal Net-zeroSolar2034,Global Net-zero,Ontario,Solar,Primary Fuel,2034," 10,746.70 ",3629.46
3580,OntarioCanada Net-zeroUranium2034,Canada Net-zero,Ontario,Uranium,Primary Fuel,2034," 125,625.03 ",18240.27183
3581,OntarioCurrent MeasuresUranium2034,Current Measures,Ontario,Uranium,Primary Fuel,2034," 84,547.26 ",11200
3582,OntarioGlobal Net-zeroUranium2034,Global Net-zero,Ontario,Uranium,Primary Fuel,2034," 110,934.82 ",15212.18043
3583,OntarioCanada Net-zeroWind2034,Canada Net-zero,Ontario,Wind,Primary Fuel,2034," 57,229.92 ",15243.71064
3584,OntarioCurrent MeasuresWind2034,Current Measures,Ontario,Wind,Primary Fuel,2034," 32,327.82 ",9612.310677
3585,OntarioGlobal Net-zeroWind2034,Global Net-zero,Ontario,Wind,Primary Fuel,2034," 58,478.82 ",15643.86302
3586,Prince Edward IslandCanada Net-zeroBiomass / Geothermal2034,Canada Net-zero,Prince Edward Island,Biomass / Geothermal,Primary Fuel,2034, 7.81 ,2.1
3587,Prince Edward IslandCurrent MeasuresBiomass / Geothermal2034,Current Measures,Prince Edward Island,Biomass / Geothermal,Primary Fuel,2034, 8.39 ,2.1
3588,Prince Edward IslandGlobal Net-zeroBiomass / Geothermal2034,Global Net-zero,Prince Edward Island,Biomass / Geothermal,Primary Fuel,2034, 9.11 ,2.1
3589,Prince Edward IslandCanada Net-zeroOil2034,Canada Net-zero,Prince Edward Island,Oil,Primary Fuel,2034, 112.57 ,170.45
3590,Prince Edward IslandCurrent MeasuresOil2034,Current Measures,Prince Edward Island,Oil,Primary Fuel,2034, 33.78 ,170.45
3591,Prince Edward IslandGlobal Net-zeroOil2034,Global Net-zero,Prince Edward Island,Oil,Primary Fuel,2034, 133.98 ,170.45
3592,Prince Edward IslandCanada Net-zeroSolar2034,Canada Net-zero,Prince Edward Island,Solar,Primary Fuel,2034, 101.08 ,61.9679401
3593,Prince Edward IslandCurrent MeasuresSolar2034,Current Measures,Prince Edward Island,Solar,Primary Fuel,2034, 2.71 ,0
3594,Prince Edward IslandGlobal Net-zeroSolar2034,Global Net-zero,Prince Edward Island,Solar,Primary Fuel,2034, 96.03 ,57.28264637
3595,Prince Edward IslandCanada Net-zeroUranium2034,Canada Net-zero,Prince Edward Island,Uranium,Primary Fuel,2034, -   ,0
3596,Prince Edward IslandGlobal Net-zeroUranium2034,Global Net-zero,Prince Edward Island,Uranium,Primary Fuel,2034, -   ,0
3597,Prince Edward IslandCanada Net-zeroWind2034,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2034," 1,551.23 ",419.3396731
3598,Prince Edward IslandCurrent MeasuresWind2034,Current Measures,Prince Edward Island,Wind,Primary Fuel,2034," 1,938.67 ",574.4292839
3599,Prince Edward IslandGlobal Net-zeroWind2034,Global Net-zero,Prince Edward Island,Wind,Primary Fuel,2034," 1,338.88 ",358.28
3600,QuebecCanada Net-zeroBiomass / Geothermal2034,Canada Net-zero,Quebec,Biomass / Geothermal,Primary Fuel,2034," 1,594.24 ",326.39
3601,QuebecCurrent MeasuresBiomass / Geothermal2034,Current Measures,Quebec,Biomass / Geothermal,Primary Fuel,2034," 8,651.80 ",8105.772399
3602,QuebecGlobal Net-zeroBiomass / Geothermal2034,Global Net-zero,Quebec,Biomass / Geothermal,Primary Fuel,2034," 1,690.43 ",326.39
3603,QuebecCanada Net-zeroHydro / Wave / Tidal2034,Canada Net-zero,Quebec,Hydro / Wave / Tidal,Primary Fuel,2034," 255,905.01 ",45654.62736
3604,QuebecCurrent MeasuresHydro / Wave / Tidal2034,Current Measures,Quebec,Hydro / Wave / Tidal,Primary Fuel,2034," 244,953.67 ",43486.87
3605,QuebecGlobal Net-zeroHydro / Wave / Tidal2034,Global Net-zero,Quebec,Hydro / Wave / Tidal,Primary Fuel,2034," 255,057.02 ",45465.43704
3606,QuebecCanada Net-zeroNatural Gas2034,Canada Net-zero,Quebec,Natural Gas,Primary Fuel,2034, 146.23 ,560
3607,QuebecCurrent MeasuresNatural Gas2034,Current Measures,Quebec,Natural Gas,Primary Fuel,2034, -   ,560
3608,QuebecGlobal Net-zeroNatural Gas2034,Global Net-zero,Quebec,Natural Gas,Primary Fuel,2034, 129.76 ,560
3609,QuebecCanada Net-zeroOil2034,Canada Net-zero,Quebec,Oil,Primary Fuel,2034, 322.76 ,244
3610,QuebecCurrent MeasuresOil2034,Current Measures,Quebec,Oil,Primary Fuel,2034, 320.62 ,244
3611,QuebecGlobal Net-zeroOil2034,Global Net-zero,Quebec,Oil,Primary Fuel,2034, 322.90 ,244
3612,QuebecCanada Net-zeroSolar2034,Canada Net-zero,Quebec,Solar,Primary Fuel,2034, 320.91 ,0.297
3613,QuebecCurrent MeasuresSolar2034,Current Measures,Quebec,Solar,Primary Fuel,2034, 169.39 ,0.297
3614,QuebecGlobal Net-zeroSolar2034,Global Net-zero,Quebec,Solar,Primary Fuel,2034, 529.04 ,144.297
3615,QuebecCanada Net-zeroUranium2034,Canada Net-zero,Quebec,Uranium,Primary Fuel,2034, -   ,0
3616,QuebecGlobal Net-zeroUranium2034,Global Net-zero,Quebec,Uranium,Primary Fuel,2034, -   ,0
3617,QuebecCanada Net-zeroWind2034,Canada Net-zero,Quebec,Wind,Primary Fuel,2034," 19,344.76 ",5382.649529
3618,QuebecCurrent MeasuresWind2034,Current Measures,Quebec,Wind,Primary Fuel,2034," 27,659.34 ",8346.147383
3619,QuebecGlobal Net-zeroWind2034,Global Net-zero,Quebec,Wind,Primary Fuel,2034," 15,482.65 ",4708.436572
3620,SaskatchewanCanada Net-zeroBiomass / Geothermal2034,Canada Net-zero,Saskatchewan,Biomass / Geothermal,Primary Fuel,2034," 3,690.05 ",480.4444444
3621,SaskatchewanCurrent MeasuresBiomass / Geothermal2034,Current Measures,Saskatchewan,Biomass / Geothermal,Primary Fuel,2034, 284.24 ,36
3622,SaskatchewanGlobal Net-zeroBiomass / Geothermal2034,Global Net-zero,Saskatchewan,Biomass / Geothermal,Primary Fuel,2034," 3,649.60 ",480.4444444
3623,SaskatchewanCanada Net-zeroCoal & Coke2034,Canada Net-zero,Saskatchewan,Coal & Coke,Primary Fuel,2034, 661.00 ,115
3624,SaskatchewanCurrent MeasuresCoal & Coke2034,Current Measures,Saskatchewan,Coal & Coke,Primary Fuel,2034, 654.81 ,115
3625,SaskatchewanGlobal Net-zeroCoal & Coke2034,Global Net-zero,Saskatchewan,Coal & Coke,Primary Fuel,2034, 654.81 ,115
3626,SaskatchewanCanada Net-zeroHydro / Wave / Tidal2034,Canada Net-zero,Saskatchewan,Hydro / Wave / Tidal,Primary Fuel,2034," 3,656.93 ",979.06
3627,SaskatchewanCurrent MeasuresHydro / Wave / Tidal2034,Current Measures,Saskatchewan,Hydro / Wave / Tidal,Primary Fuel,2034," 4,217.04 ",939.06
3628,SaskatchewanGlobal Net-zeroHydro / Wave / Tidal2034,Global Net-zero,Saskatchewan,Hydro / Wave / Tidal,Primary Fuel,2034," 3,903.40 ",939.06
3629,SaskatchewanCanada Net-zeroNatural Gas2034,Canada Net-zero,Saskatchewan,Natural Gas,Primary Fuel,2034," 4,109.08 ",3894.345212
3630,SaskatchewanCurrent MeasuresNatural Gas2034,Current Measures,Saskatchewan,Natural Gas,Primary Fuel,2034," 12,015.89 ",4005.912741
3631,SaskatchewanGlobal Net-zeroNatural Gas2034,Global Net-zero,Saskatchewan,Natural Gas,Primary Fuel,2034," 7,506.62 ",4063.601716
3632,SaskatchewanCanada Net-zeroOil2034,Canada Net-zero,Saskatchewan,Oil,Primary Fuel,2034, -   ,16.955
3633,SaskatchewanCurrent MeasuresOil2034,Current Measures,Saskatchewan,Oil,Primary Fuel,2034, -   ,16.955
3634,SaskatchewanGlobal Net-zeroOil2034,Global Net-zero,Saskatchewan,Oil,Primary Fuel,2034, -   ,16.955
3635,SaskatchewanCanada Net-zeroSolar2034,Canada Net-zero,Saskatchewan,Solar,Primary Fuel,2034," 2,551.40 ",1196.657938
3636,SaskatchewanCurrent MeasuresSolar2034,Current Measures,Saskatchewan,Solar,Primary Fuel,2034," 1,448.21 ",667.9244304
3637,SaskatchewanGlobal Net-zeroSolar2034,Global Net-zero,Saskatchewan,Solar,Primary Fuel,2034," 1,387.45 ",593.8394468
3638,SaskatchewanCanada Net-zeroUranium2034,Canada Net-zero,Saskatchewan,Uranium,Primary Fuel,2034," 6,150.41 ",856
3639,SaskatchewanGlobal Net-zeroUranium2034,Global Net-zero,Saskatchewan,Uranium,Primary Fuel,2034," 4,454.75 ",564.3484219
3640,SaskatchewanCanada Net-zeroWind2034,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2034," 16,112.88 ",4452.640422
3641,SaskatchewanCurrent MeasuresWind2034,Current Measures,Saskatchewan,Wind,Primary Fuel,2034," 11,785.85 ",3168.487884
3642,SaskatchewanGlobal Net-zeroWind2034,Global Net-zero,Saskatchewan,Wind,Primary Fuel,2034," 12,392.42 ",3394.515566
3643,YukonCanada Net-zeroBiomass / Geothermal2034,Canada Net-zero,Yukon,Biomass / Geothermal,Primary Fuel,2034, 84.99 ,43.934611
3644,YukonCurrent MeasuresBiomass / Geothermal2034,Current Measures,Yukon,Biomass / Geothermal,Primary Fuel,2034, 112.71 ,36.727373
3645,YukonGlobal Net-zeroBiomass / Geothermal2034,Global Net-zero,Yukon,Biomass / Geothermal,Primary Fuel,2034, 58.14 ,40.558732
3646,YukonCanada Net-zeroHydro / Wave / Tidal2034,Canada Net-zero,Yukon,Hydro / Wave / Tidal,Primary Fuel,2034, 466.16 ,104.5
3647,YukonCurrent MeasuresHydro / Wave / Tidal2034,Current Measures,Yukon,Hydro / Wave / Tidal,Primary Fuel,2034, 466.16 ,104.5
3648,YukonGlobal Net-zeroHydro / Wave / Tidal2034,Global Net-zero,Yukon,Hydro / Wave / Tidal,Primary Fuel,2034, 466.16 ,104.5
3649,YukonCanada Net-zeroNatural Gas2034,Canada Net-zero,Yukon,Natural Gas,Primary Fuel,2034, 172.72 ,19.8
3650,YukonCurrent MeasuresNatural Gas2034,Current Measures,Yukon,Natural Gas,Primary Fuel,2034, 161.44 ,19.8
3651,YukonGlobal Net-zeroNatural Gas2034,Global Net-zero,Yukon,Natural Gas,Primary Fuel,2034, 170.92 ,19.8
3652,YukonCanada Net-zeroOil2034,Canada Net-zero,Yukon,Oil,Primary Fuel,2034, 160.90 ,23.57
3653,YukonCurrent MeasuresOil2034,Current Measures,Yukon,Oil,Primary Fuel,2034, 22.34 ,23.57
3654,YukonGlobal Net-zeroOil2034,Global Net-zero,Yukon,Oil,Primary Fuel,2034, 155.62 ,23.57
3655,YukonCanada Net-zeroSolar2034,Canada Net-zero,Yukon,Solar,Primary Fuel,2034, 4.31 ,2.044
3656,YukonCurrent MeasuresSolar2034,Current Measures,Yukon,Solar,Primary Fuel,2034, 3.72 ,2.044
3657,YukonGlobal Net-zeroSolar2034,Global Net-zero,Yukon,Solar,Primary Fuel,2034, 4.31 ,2.044
3658,YukonCanada Net-zeroWind2034,Canada Net-zero,Yukon,Wind,Primary Fuel,2034, 14.57 ,11.02
3659,YukonCurrent MeasuresWind2034,Current Measures,Yukon,Wind,Primary Fuel,2034, 14.57 ,10.96789474
3660,YukonGlobal Net-zeroWind2034,Global Net-zero,Yukon,Wind,Primary Fuel,2034, 14.57 ,10.95136126
3661,AlbertaCanada Net-zeroBiomass / Geothermal2035,Canada Net-zero,Alberta,Biomass / Geothermal,Primary Fuel,2035," 6,776.06 ",1013.427778
3662,AlbertaCurrent MeasuresBiomass / Geothermal2035,Current Measures,Alberta,Biomass / Geothermal,Primary Fuel,2035, 858.36 ,285.65
3663,AlbertaGlobal Net-zeroBiomass / Geothermal2035,Global Net-zero,Alberta,Biomass / Geothermal,Primary Fuel,2035," 6,939.32 ",1013.427778
3664,AlbertaCanada Net-zeroCoal & Coke2035,Canada Net-zero,Alberta,Coal & Coke,Primary Fuel,2035, -   ,0
3665,AlbertaCurrent MeasuresCoal & Coke2035,Current Measures,Alberta,Coal & Coke,Primary Fuel,2035, -   ,0
3666,AlbertaGlobal Net-zeroCoal & Coke2035,Global Net-zero,Alberta,Coal & Coke,Primary Fuel,2035, -   ,0
3667,AlbertaCanada Net-zeroHydro / Wave / Tidal2035,Canada Net-zero,Alberta,Hydro / Wave / Tidal,Primary Fuel,2035," 1,350.53 ",894.35
3668,AlbertaCurrent MeasuresHydro / Wave / Tidal2035,Current Measures,Alberta,Hydro / Wave / Tidal,Primary Fuel,2035," 1,651.07 ",894.35
3669,AlbertaGlobal Net-zeroHydro / Wave / Tidal2035,Global Net-zero,Alberta,Hydro / Wave / Tidal,Primary Fuel,2035," 1,429.22 ",894.35
3670,AlbertaCanada Net-zeroNatural Gas2035,Canada Net-zero,Alberta,Natural Gas,Primary Fuel,2035," 26,515.28 ",12955.38346
3671,AlbertaCurrent MeasuresNatural Gas2035,Current Measures,Alberta,Natural Gas,Primary Fuel,2035," 88,400.55 ",17171.23454
3672,AlbertaGlobal Net-zeroNatural Gas2035,Global Net-zero,Alberta,Natural Gas,Primary Fuel,2035," 27,184.00 ",12360.51763
3673,AlbertaCanada Net-zeroOil2035,Canada Net-zero,Alberta,Oil,Primary Fuel,2035, -   ,7.15
3674,AlbertaCurrent MeasuresOil2035,Current Measures,Alberta,Oil,Primary Fuel,2035, -   ,7.15
3675,AlbertaGlobal Net-zeroOil2035,Global Net-zero,Alberta,Oil,Primary Fuel,2035, -   ,7.15
3676,AlbertaCanada Net-zeroSolar2035,Canada Net-zero,Alberta,Solar,Primary Fuel,2035," 25,494.39 ",13012.38682
3677,AlbertaCurrent MeasuresSolar2035,Current Measures,Alberta,Solar,Primary Fuel,2035," 7,309.12 ",3500.466
3678,AlbertaGlobal Net-zeroSolar2035,Global Net-zero,Alberta,Solar,Primary Fuel,2035," 21,566.53 ",10774.61055
3679,AlbertaCanada Net-zeroUranium2035,Canada Net-zero,Alberta,Uranium,Primary Fuel,2035," 3,201.43 ",458.9655682
3680,AlbertaGlobal Net-zeroUranium2035,Global Net-zero,Alberta,Uranium,Primary Fuel,2035, -   ,0
3681,AlbertaCanada Net-zeroWind2035,Canada Net-zero,Alberta,Wind,Primary Fuel,2035," 65,154.72 ",17487.65623
3682,AlbertaCurrent MeasuresWind2035,Current Measures,Alberta,Wind,Primary Fuel,2035," 14,174.01 ",3748.56
3683,AlbertaGlobal Net-zeroWind2035,Global Net-zero,Alberta,Wind,Primary Fuel,2035," 49,342.80 ",13338.58129
3684,British ColumbiaCanada Net-zeroBiomass / Geothermal2035,Canada Net-zero,British Columbia,Biomass / Geothermal,Primary Fuel,2035," 3,608.79 ",1162.383333
3685,British ColumbiaCurrent MeasuresBiomass / Geothermal2035,Current Measures,British Columbia,Biomass / Geothermal,Primary Fuel,2035," 2,714.51 ",1079.05
3686,British ColumbiaGlobal Net-zeroBiomass / Geothermal2035,Global Net-zero,British Columbia,Biomass / Geothermal,Primary Fuel,2035," 3,846.39 ",1062.383333
3687,British ColumbiaCanada Net-zeroHydro / Wave / Tidal2035,Canada Net-zero,British Columbia,Hydro / Wave / Tidal,Primary Fuel,2035," 61,582.59 ",17053.47
3688,British ColumbiaCurrent MeasuresHydro / Wave / Tidal2035,Current Measures,British Columbia,Hydro / Wave / Tidal,Primary Fuel,2035," 64,004.03 ",17303.47
3689,British ColumbiaGlobal Net-zeroHydro / Wave / Tidal2035,Global Net-zero,British Columbia,Hydro / Wave / Tidal,Primary Fuel,2035," 61,636.48 ",17053.47
3690,British ColumbiaCanada Net-zeroNatural Gas2035,Canada Net-zero,British Columbia,Natural Gas,Primary Fuel,2035, 520.58 ,3953.367186
3691,British ColumbiaCurrent MeasuresNatural Gas2035,Current Measures,British Columbia,Natural Gas,Primary Fuel,2035," 9,988.67 ",5093.542703
3692,British ColumbiaGlobal Net-zeroNatural Gas2035,Global Net-zero,British Columbia,Natural Gas,Primary Fuel,2035, 795.83 ,3042.290012
3693,British ColumbiaCanada Net-zeroOil2035,Canada Net-zero,British Columbia,Oil,Primary Fuel,2035, -   ,36.46
3694,British ColumbiaCurrent MeasuresOil2035,Current Measures,British Columbia,Oil,Primary Fuel,2035, -   ,36.46
3695,British ColumbiaGlobal Net-zeroOil2035,Global Net-zero,British Columbia,Oil,Primary Fuel,2035, -   ,36.46
3696,British ColumbiaCanada Net-zeroSolar2035,Canada Net-zero,British Columbia,Solar,Primary Fuel,2035," 5,777.19 ",3178.35928
3697,British ColumbiaCurrent MeasuresSolar2035,Current Measures,British Columbia,Solar,Primary Fuel,2035," 6,968.73 ",4281.795808
3698,British ColumbiaGlobal Net-zeroSolar2035,Global Net-zero,British Columbia,Solar,Primary Fuel,2035," 6,289.73 ",3515.251027
3699,British ColumbiaCanada Net-zeroUranium2035,Canada Net-zero,British Columbia,Uranium,Primary Fuel,2035," 15,259.87 ",2140
3700,British ColumbiaGlobal Net-zeroUranium2035,Global Net-zero,British Columbia,Uranium,Primary Fuel,2035," 5,641.18 ",747.9198619
3701,British ColumbiaCanada Net-zeroWind2035,Canada Net-zero,British Columbia,Wind,Primary Fuel,2035," 9,246.43 ",2922.305106
3702,British ColumbiaCurrent MeasuresWind2035,Current Measures,British Columbia,Wind,Primary Fuel,2035," 5,922.77 ",1906.388813
3703,British ColumbiaGlobal Net-zeroWind2035,Global Net-zero,British Columbia,Wind,Primary Fuel,2035," 8,226.08 ",2660.423784
3704,ManitobaCanada Net-zeroBiomass / Geothermal2035,Canada Net-zero,Manitoba,Biomass / Geothermal,Primary Fuel,2035, 63.89 ,29.060682
3705,ManitobaCurrent MeasuresBiomass / Geothermal2035,Current Measures,Manitoba,Biomass / Geothermal,Primary Fuel,2035, 538.13 ,616.1718864
3706,ManitobaGlobal Net-zeroBiomass / Geothermal2035,Global Net-zero,Manitoba,Biomass / Geothermal,Primary Fuel,2035, 63.89 ,22
3707,ManitobaCanada Net-zeroHydro / Wave / Tidal2035,Canada Net-zero,Manitoba,Hydro / Wave / Tidal,Primary Fuel,2035," 48,702.55 ",7672.69
3708,ManitobaCurrent MeasuresHydro / Wave / Tidal2035,Current Measures,Manitoba,Hydro / Wave / Tidal,Primary Fuel,2035," 36,672.43 ",6572.69
3709,ManitobaGlobal Net-zeroHydro / Wave / Tidal2035,Global Net-zero,Manitoba,Hydro / Wave / Tidal,Primary Fuel,2035," 48,663.47 ",7672.69
3710,ManitobaCanada Net-zeroNatural Gas2035,Canada Net-zero,Manitoba,Natural Gas,Primary Fuel,2035, -   ,402.61
3711,ManitobaCurrent MeasuresNatural Gas2035,Current Measures,Manitoba,Natural Gas,Primary Fuel,2035, 6.05 ,402.61
