Scenario,Region,Variable,Year,Electricity generation,Electricity capacity
Canada Net-zero,Prince Edward Island,Oil,2016,7,160.45
Canada Net-zero,Prince Edward Island,Oil,2017,7,160.45
Canada Net-zero,Prince Edward Island,Oil,2018,6,170.45
Canada Net-zero,Prince Edward Island,Oil,2019,3,170.45
Canada Net-zero,Quebec,Oil,2005,180.26,1594.63
Canada Net-zero,Quebec,Oil,2006,366.03,1382.99
Canada Net-zero,Quebec,Oil,2007,668.83,1382.99
Canada Net-zero,Quebec,Oil,2008,532.89,1382.99
Canada Net-zero,Quebec,Oil,2009,392.12,1382.99
Canada Net-zero,Quebec,Oil,2010,585.88,1382.99
Canada Net-zero,Quebec,Oil,2011,546.18,723.28
Canada Net-zero,Quebec,Oil,2012,518.65,415.12
Canada Net-zero,Quebec,Oil,2013,475.06,415.12
Canada Net-zero,Quebec,Oil,2014,496.68,415.12
Canada Net-zero,Quebec,Oil,2015,532.04,253.12
Canada Net-zero,Quebec,Oil,2016,660.06,311.04
Canada Net-zero,Quebec,Oil,2017,421.08,311.04
Canada Net-zero,Quebec,Oil,2018,593.07,311.04
Canada Net-zero,Quebec,Oil,2019,501.07,311.04
Canada Net-zero,Saskatchewan,Oil,2005,17.9,1.17
Canada Net-zero,Saskatchewan,Oil,2006,19.5,1.17
Canada Net-zero,Saskatchewan,Oil,2007,25.9,1.17
Canada Net-zero,Saskatchewan,Oil,2008,22.6,1.17
Canada Net-zero,Saskatchewan,Oil,2009,17.9,1.17
Canada Net-zero,Saskatchewan,Oil,2010,20.8,1.17
Canada Net-zero,Saskatchewan,Oil,2011,12.3,1.17
Canada Net-zero,Saskatchewan,Oil,2012,11.3,1.17
Canada Net-zero,Saskatchewan,Oil,2013,15,1.17
Canada Net-zero,Saskatchewan,Oil,2014,12.4,16.96
Canada Net-zero,Saskatchewan,Oil,2015,2,16.96
Canada Net-zero,Saskatchewan,Oil,2016,1,16.96
Canada Net-zero,Saskatchewan,Oil,2017,1,16.96
Canada Net-zero,Saskatchewan,Oil,2018,1,16.96
Canada Net-zero,Saskatchewan,Oil,2019,1,16.96
Canada Net-zero,Yukon,Oil,2005,22.09,33.34
Canada Net-zero,Yukon,Oil,2006,22.09,33.34
Canada Net-zero,Yukon,Oil,2007,22.09,33.34
Canada Net-zero,Yukon,Oil,2008,22.33,33.34
Canada Net-zero,Yukon,Oil,2009,18.54,33.34
Canada Net-zero,Yukon,Oil,2010,24.78,33.57
Canada Net-zero,Yukon,Oil,2011,36.87,33.57
Canada Net-zero,Yukon,Oil,2012,24.37,33.57
Canada Net-zero,Yukon,Oil,2013,23.29,33.57
Canada Net-zero,Yukon,Oil,2014,23,33.57
Canada Net-zero,Yukon,Oil,2015,0,24.57
Canada Net-zero,Yukon,Oil,2016,0,24.57
Canada Net-zero,Yukon,Oil,2017,0,24.57
Canada Net-zero,Yukon,Oil,2018,0,24.57
Canada Net-zero,Yukon,Oil,2019,0,24.57
Canada Net-zero,Alberta,Solar,2005,0,0
Canada Net-zero,Alberta,Solar,2006,0,0
Canada Net-zero,Alberta,Solar,2007,0,0
Canada Net-zero,Alberta,Solar,2008,0,0
Canada Net-zero,Alberta,Solar,2009,0,0
Canada Net-zero,Alberta,Solar,2010,0,0
Canada Net-zero,Alberta,Solar,2011,0,0
Canada Net-zero,Alberta,Solar,2012,0,2.18
Canada Net-zero,Alberta,Solar,2013,0,4.47
Canada Net-zero,Alberta,Solar,2014,0,4.47
Canada Net-zero,Alberta,Solar,2015,0,4.47
Canada Net-zero,Alberta,Solar,2016,2,4.47
Canada Net-zero,Alberta,Solar,2017,2,21.47
Canada Net-zero,Alberta,Solar,2018,25,36.47
Canada Net-zero,Alberta,Solar,2019,23,36.47
Canada Net-zero,British Columbia,Solar,2005,0,0
Canada Net-zero,British Columbia,Solar,2006,0,0
Canada Net-zero,British Columbia,Solar,2007,0,0
Canada Net-zero,British Columbia,Solar,2008,0,0
Canada Net-zero,British Columbia,Solar,2009,0,0
Canada Net-zero,British Columbia,Solar,2010,0,0
Canada Net-zero,British Columbia,Solar,2011,0,0
Canada Net-zero,British Columbia,Solar,2012,0,0
Canada Net-zero,British Columbia,Solar,2013,0,2.28
Canada Net-zero,British Columbia,Solar,2014,0,2.28
Canada Net-zero,British Columbia,Solar,2015,0,3.28
Canada Net-zero,British Columbia,Solar,2016,0,3.28
Canada Net-zero,British Columbia,Solar,2017,0,3.28
Canada Net-zero,British Columbia,Solar,2018,2,3.28
Canada Net-zero,British Columbia,Solar,2019,2,23.28
Canada Net-zero,Canada,Solar,2005,0,16.75
Canada Net-zero,Canada,Solar,2006,0,20.48
Canada Net-zero,Canada,Solar,2007,0,25.77
Canada Net-zero,Canada,Solar,2008,0,32.72
Canada Net-zero,Canada,Solar,2009,5,94.57
Canada Net-zero,Canada,Solar,2010,123,281.13
Canada Net-zero,Canada,Solar,2011,398,419.4
Canada Net-zero,Canada,Solar,2012,842,647.48
Canada Net-zero,Canada,Solar,2013,1173,1027.63
Canada Net-zero,Canada,Solar,2014,1757.71,1523.48
Canada Net-zero,Canada,Solar,2015,1426,2135.48
Canada Net-zero,Canada,Solar,2016,1779,2416.06
Canada Net-zero,Canada,Solar,2017,2001,2614.46
Canada Net-zero,Canada,Solar,2018,2191,2719.86
Canada Net-zero,Canada,Solar,2019,2194,2739.86
Canada Net-zero,Manitoba,Solar,2005,0,0
Canada Net-zero,Manitoba,Solar,2006,0,0
Canada Net-zero,Manitoba,Solar,2007,0,0
Canada Net-zero,Manitoba,Solar,2008,0,0
Canada Net-zero,Manitoba,Solar,2009,0,0
Canada Net-zero,Manitoba,Solar,2010,0,0
Canada Net-zero,Manitoba,Solar,2011,0,0
Canada Net-zero,Manitoba,Solar,2012,0,0
Canada Net-zero,Manitoba,Solar,2013,0,1
Canada Net-zero,Manitoba,Solar,2014,0,2
Canada Net-zero,Manitoba,Solar,2015,0,3
Canada Net-zero,Manitoba,Solar,2016,0,4
Canada Net-zero,Manitoba,Solar,2017,0,5
Canada Net-zero,Manitoba,Solar,2018,0,6
Canada Net-zero,Manitoba,Solar,2019,0,6
Canada Net-zero,New Brunswick,Solar,2005,0,0
Canada Net-zero,New Brunswick,Solar,2006,0,0
Canada Net-zero,New Brunswick,Solar,2007,0,0
Canada Net-zero,New Brunswick,Solar,2008,0,0
Canada Net-zero,New Brunswick,Solar,2009,0,0
Canada Net-zero,New Brunswick,Solar,2010,0,0
Canada Net-zero,New Brunswick,Solar,2011,0,0
Canada Net-zero,New Brunswick,Solar,2012,0,0
Canada Net-zero,New Brunswick,Solar,2013,0,0.16
Canada Net-zero,New Brunswick,Solar,2014,0,0.16
Canada Net-zero,New Brunswick,Solar,2015,0,0.16
Canada Net-zero,New Brunswick,Solar,2016,0,0.16
Canada Net-zero,New Brunswick,Solar,2017,0,0.16
Canada Net-zero,New Brunswick,Solar,2018,0,0.16
Canada Net-zero,New Brunswick,Solar,2019,0,0.16
Canada Net-zero,Newfoundland and Labrador,Solar,2005,0,0
Canada Net-zero,Newfoundland and Labrador,Solar,2006,0,0
Canada Net-zero,Newfoundland and Labrador,Solar,2007,0,0
Canada Net-zero,Newfoundland and Labrador,Solar,2008,0,0
Canada Net-zero,Newfoundland and Labrador,Solar,2009,0,0
Canada Net-zero,Newfoundland and Labrador,Solar,2010,0,0
Canada Net-zero,Newfoundland and Labrador,Solar,2011,0,0
Canada Net-zero,Newfoundland and Labrador,Solar,2012,0,0
Canada Net-zero,Newfoundland and Labrador,Solar,2013,0,0.02
Canada Net-zero,Newfoundland and Labrador,Solar,2014,0,0.02
Canada Net-zero,Newfoundland and Labrador,Solar,2015,0,0.02
Canada Net-zero,Newfoundland and Labrador,Solar,2016,0,0.02
Canada Net-zero,Newfoundland and Labrador,Solar,2017,0,0.02
Canada Net-zero,Newfoundland and Labrador,Solar,2018,0,0.02
Canada Net-zero,Newfoundland and Labrador,Solar,2019,0,0.02
Canada Net-zero,Northwest Territories,Solar,2005,0,0
Canada Net-zero,Northwest Territories,Solar,2006,0,0
Canada Net-zero,Northwest Territories,Solar,2007,0,0
Canada Net-zero,Northwest Territories,Solar,2008,0,0
Canada Net-zero,Northwest Territories,Solar,2009,0,0
Canada Net-zero,Northwest Territories,Solar,2010,0,0
Canada Net-zero,Northwest Territories,Solar,2011,0,0
Canada Net-zero,Northwest Territories,Solar,2012,0,0
Canada Net-zero,Northwest Territories,Solar,2013,0,0.27
Canada Net-zero,Northwest Territories,Solar,2014,0,0.42
Canada Net-zero,Northwest Territories,Solar,2015,0,0.82
Canada Net-zero,Northwest Territories,Solar,2016,0,1.22
Canada Net-zero,Northwest Territories,Solar,2017,0,1.62
Canada Net-zero,Northwest Territories,Solar,2018,0,2.02
Canada Net-zero,Northwest Territories,Solar,2019,0,2.02
Canada Net-zero,Nova Scotia,Solar,2005,0,0
Canada Net-zero,Nova Scotia,Solar,2006,0,0
Canada Net-zero,Nova Scotia,Solar,2007,0,0
Canada Net-zero,Nova Scotia,Solar,2008,0,0
Canada Net-zero,Nova Scotia,Solar,2009,0,0
Canada Net-zero,Nova Scotia,Solar,2010,0,0
Canada Net-zero,Nova Scotia,Solar,2011,0,0
Canada Net-zero,Nova Scotia,Solar,2012,0,0
Canada Net-zero,Nova Scotia,Solar,2013,0,0.37
Canada Net-zero,Nova Scotia,Solar,2014,0,0.37
Canada Net-zero,Nova Scotia,Solar,2015,0,0.37
Canada Net-zero,Nova Scotia,Solar,2016,0,0.37
Canada Net-zero,Nova Scotia,Solar,2017,0,0.37
Canada Net-zero,Nova Scotia,Solar,2018,0,0.37
Canada Net-zero,Nova Scotia,Solar,2019,0,0.37
Canada Net-zero,Nunavut,Solar,2005,0,0
Canada Net-zero,Nunavut,Solar,2006,0,0
Canada Net-zero,Nunavut,Solar,2007,0,0
Canada Net-zero,Nunavut,Solar,2008,0,0
Canada Net-zero,Nunavut,Solar,2009,0,0
Canada Net-zero,Nunavut,Solar,2010,0,0
Canada Net-zero,Nunavut,Solar,2011,0,0
Canada Net-zero,Nunavut,Solar,2012,0,0
Canada Net-zero,Nunavut,Solar,2013,0,0.03
Canada Net-zero,Nunavut,Solar,2014,0,0.03
Canada Net-zero,Nunavut,Solar,2015,0,0.03
Canada Net-zero,Nunavut,Solar,2016,0,0.03
Canada Net-zero,Nunavut,Solar,2017,0,0.03
Canada Net-zero,Nunavut,Solar,2018,0,0.03
Canada Net-zero,Nunavut,Solar,2019,0,0.03
Canada Net-zero,Ontario,Solar,2005,0,16.75
Canada Net-zero,Ontario,Solar,2006,0,20.48
Canada Net-zero,Ontario,Solar,2007,0,25.77
Canada Net-zero,Ontario,Solar,2008,0,32.72
Canada Net-zero,Ontario,Solar,2009,5,94.57
Canada Net-zero,Ontario,Solar,2010,123,281.13
Canada Net-zero,Ontario,Solar,2011,398,419.4
Canada Net-zero,Ontario,Solar,2012,842,645.3
Canada Net-zero,Ontario,Solar,2013,1173,1018.7
Canada Net-zero,Ontario,Solar,2014,1757.71,1509.4
Canada Net-zero,Ontario,Solar,2015,1425,2119
Canada Net-zero,Ontario,Solar,2016,1776,2400.46
Canada Net-zero,Ontario,Solar,2017,1998,2580.46
Canada Net-zero,Ontario,Solar,2018,2163,2669.46
Canada Net-zero,Ontario,Solar,2019,2168,2669.46
Canada Net-zero,Prince Edward Island,Solar,2005,0,0
Canada Net-zero,Prince Edward Island,Solar,2006,0,0
Canada Net-zero,Prince Edward Island,Solar,2007,0,0
Canada Net-zero,Prince Edward Island,Solar,2008,0,0
Canada Net-zero,Prince Edward Island,Solar,2009,0,0
Canada Net-zero,Prince Edward Island,Solar,2010,0,0
Canada Net-zero,Prince Edward Island,Solar,2011,0,0
Canada Net-zero,Prince Edward Island,Solar,2012,0,0
Canada Net-zero,Prince Edward Island,Solar,2013,0,0
Canada Net-zero,Prince Edward Island,Solar,2014,0,0
Canada Net-zero,Prince Edward Island,Solar,2015,0,0
Canada Net-zero,Prince Edward Island,Solar,2016,0,0
Canada Net-zero,Prince Edward Island,Solar,2017,0,0
Canada Net-zero,Prince Edward Island,Solar,2018,0,0
Canada Net-zero,Prince Edward Island,Solar,2019,0,0
Canada Net-zero,Quebec,Solar,2005,0,0
Canada Net-zero,Quebec,Solar,2006,0,0
Canada Net-zero,Quebec,Solar,2007,0,0
Canada Net-zero,Quebec,Solar,2008,0,0
Canada Net-zero,Quebec,Solar,2009,0,0
Canada Net-zero,Quebec,Solar,2010,0,0
Canada Net-zero,Quebec,Solar,2011,0,0
Canada Net-zero,Quebec,Solar,2012,0,0
Canada Net-zero,Quebec,Solar,2013,0,0.3
Canada Net-zero,Quebec,Solar,2014,0,0.3
Canada Net-zero,Quebec,Solar,2015,1,0.3
Canada Net-zero,Quebec,Solar,2016,1,0.3
Canada Net-zero,Quebec,Solar,2017,1,0.3
Canada Net-zero,Quebec,Solar,2018,1,0.3
Canada Net-zero,Quebec,Solar,2019,1,0.3
Canada Net-zero,Saskatchewan,Solar,2005,0,0
Canada Net-zero,Saskatchewan,Solar,2006,0,0
Canada Net-zero,Saskatchewan,Solar,2007,0,0
Canada Net-zero,Saskatchewan,Solar,2008,0,0
Canada Net-zero,Saskatchewan,Solar,2009,0,0
Canada Net-zero,Saskatchewan,Solar,2010,0,0
Canada Net-zero,Saskatchewan,Solar,2011,0,0
Canada Net-zero,Saskatchewan,Solar,2012,0,0
Canada Net-zero,Saskatchewan,Solar,2013,0,0
Canada Net-zero,Saskatchewan,Solar,2014,0,4
Canada Net-zero,Saskatchewan,Solar,2015,0,4
Canada Net-zero,Saskatchewan,Solar,2016,0,1.72
Canada Net-zero,Saskatchewan,Solar,2017,0,1.72
Canada Net-zero,Saskatchewan,Solar,2018,0,1.72
Canada Net-zero,Saskatchewan,Solar,2019,0,1.72
Canada Net-zero,Yukon,Solar,2005,0,0
Canada Net-zero,Yukon,Solar,2006,0,0
Canada Net-zero,Yukon,Solar,2007,0,0
Canada Net-zero,Yukon,Solar,2008,0,0
Canada Net-zero,Yukon,Solar,2009,0,0
Canada Net-zero,Yukon,Solar,2010,0,0
Canada Net-zero,Yukon,Solar,2011,0,0
Canada Net-zero,Yukon,Solar,2012,0,0
Canada Net-zero,Yukon,Solar,2013,0,0.04
Canada Net-zero,Yukon,Solar,2014,0,0.04
Canada Net-zero,Yukon,Solar,2015,0,0.04
Canada Net-zero,Yukon,Solar,2016,0,0.04
Canada Net-zero,Yukon,Solar,2017,0,0.04
Canada Net-zero,Yukon,Solar,2018,0,0.04
Canada Net-zero,Yukon,Solar,2019,0,0.04
Canada Net-zero,Alberta,Uranium,2005,0,0
Canada Net-zero,Alberta,Uranium,2006,0,0
Canada Net-zero,Alberta,Uranium,2007,0,0
Canada Net-zero,Alberta,Uranium,2008,0,0
Canada Net-zero,Alberta,Uranium,2009,0,0
Canada Net-zero,Alberta,Uranium,2010,0,0
Canada Net-zero,Alberta,Uranium,2011,0,0
Canada Net-zero,Alberta,Uranium,2012,0,0
Canada Net-zero,Alberta,Uranium,2013,0,0
Canada Net-zero,Alberta,Uranium,2014,0,0
Canada Net-zero,Alberta,Uranium,2015,0,0
Canada Net-zero,Alberta,Uranium,2016,0,0
Canada Net-zero,Alberta,Uranium,2017,0,0
Canada Net-zero,Alberta,Uranium,2018,0,0
Canada Net-zero,Alberta,Uranium,2019,0,0
Canada Net-zero,British Columbia,Uranium,2005,0,0
Canada Net-zero,British Columbia,Uranium,2006,0,0
Canada Net-zero,British Columbia,Uranium,2007,0,0
Canada Net-zero,British Columbia,Uranium,2008,0,0
Canada Net-zero,British Columbia,Uranium,2009,0,0
Canada Net-zero,British Columbia,Uranium,2010,0,0
Canada Net-zero,British Columbia,Uranium,2011,0,0
Canada Net-zero,British Columbia,Uranium,2012,0,0
Canada Net-zero,British Columbia,Uranium,2013,0,0
Canada Net-zero,British Columbia,Uranium,2014,0,0
Canada Net-zero,British Columbia,Uranium,2015,0,0
Canada Net-zero,British Columbia,Uranium,2016,0,0
Canada Net-zero,British Columbia,Uranium,2017,0,0
Canada Net-zero,British Columbia,Uranium,2018,0,0
Canada Net-zero,British Columbia,Uranium,2019,0,0
Canada Net-zero,Canada,Uranium,2005,86668.58,12805
Canada Net-zero,Canada,Uranium,2006,92144.58,13345
Canada Net-zero,Canada,Uranium,2007,88190.58,13345
Canada Net-zero,Canada,Uranium,2008,90585.23,13345
Canada Net-zero,Canada,Uranium,2009,84992.27,13345
Canada Net-zero,Canada,Uranium,2010,85526.59,13345
Canada Net-zero,Canada,Uranium,2011,88291.22,13345
Canada Net-zero,Canada,Uranium,2012,89487.62,13345
Canada Net-zero,Canada,Uranium,2013,97581.99,14345
Canada Net-zero,Canada,Uranium,2014,101207.8,14273
Canada Net-zero,Canada,Uranium,2015,96045.98,14273
Canada Net-zero,Canada,Uranium,2016,95687.01,14273
Canada Net-zero,Canada,Uranium,2017,95565,13338
Canada Net-zero,Canada,Uranium,2018,95029.01,13338
Canada Net-zero,Canada,Uranium,2019,95470,13338
Canada Net-zero,Manitoba,Uranium,2005,0,0
Canada Net-zero,Manitoba,Uranium,2006,0,0
Canada Net-zero,Manitoba,Uranium,2007,0,0
Canada Net-zero,Manitoba,Uranium,2008,0,0
Canada Net-zero,Manitoba,Uranium,2009,0,0
Canada Net-zero,Manitoba,Uranium,2010,0,0
Canada Net-zero,Manitoba,Uranium,2011,0,0
Canada Net-zero,Manitoba,Uranium,2012,0,0
Canada Net-zero,Manitoba,Uranium,2013,0,0
Canada Net-zero,Manitoba,Uranium,2014,0,0
Canada Net-zero,Manitoba,Uranium,2015,0,0
Canada Net-zero,Manitoba,Uranium,2016,0,0
Canada Net-zero,Manitoba,Uranium,2017,0,0
Canada Net-zero,Manitoba,Uranium,2018,0,0
Canada Net-zero,Manitoba,Uranium,2019,0,0
Canada Net-zero,New Brunswick,Uranium,2005,4378,680
Canada Net-zero,New Brunswick,Uranium,2006,4366,680
Canada Net-zero,New Brunswick,Uranium,2007,4119,680
Canada Net-zero,New Brunswick,Uranium,2008,1129,680
Canada Net-zero,New Brunswick,Uranium,2009,0,680
Canada Net-zero,New Brunswick,Uranium,2010,0,680
Canada Net-zero,New Brunswick,Uranium,2011,0,680
Canada Net-zero,New Brunswick,Uranium,2012,409,680
Canada Net-zero,New Brunswick,Uranium,2013,4479,705
Canada Net-zero,New Brunswick,Uranium,2014,5012.22,705
Canada Net-zero,New Brunswick,Uranium,2015,4277,705
Canada Net-zero,New Brunswick,Uranium,2016,4545,705
Canada Net-zero,New Brunswick,Uranium,2017,5120,705
Canada Net-zero,New Brunswick,Uranium,2018,4874,705
Canada Net-zero,New Brunswick,Uranium,2019,5016,705
Canada Net-zero,Newfoundland and Labrador,Uranium,2005,0,0
Canada Net-zero,Newfoundland and Labrador,Uranium,2006,0,0
Canada Net-zero,Newfoundland and Labrador,Uranium,2007,0,0
Canada Net-zero,Newfoundland and Labrador,Uranium,2008,0,0
Canada Net-zero,Newfoundland and Labrador,Uranium,2009,0,0
Canada Net-zero,Newfoundland and Labrador,Uranium,2010,0,0
Canada Net-zero,Newfoundland and Labrador,Uranium,2011,0,0
Canada Net-zero,Newfoundland and Labrador,Uranium,2012,0,0
Canada Net-zero,Newfoundland and Labrador,Uranium,2013,0,0
Canada Net-zero,Newfoundland and Labrador,Uranium,2014,0,0
Canada Net-zero,Newfoundland and Labrador,Uranium,2015,0,0
Canada Net-zero,Newfoundland and Labrador,Uranium,2016,0,0
Canada Net-zero,Newfoundland and Labrador,Uranium,2017,0,0
Canada Net-zero,Newfoundland and Labrador,Uranium,2018,0,0
Canada Net-zero,Newfoundland and Labrador,Uranium,2019,0,0
Canada Net-zero,Northwest Territories,Uranium,2005,0,0
Canada Net-zero,Northwest Territories,Uranium,2006,0,0
Canada Net-zero,Northwest Territories,Uranium,2007,0,0
Canada Net-zero,Northwest Territories,Uranium,2008,0,0
Canada Net-zero,Northwest Territories,Uranium,2009,0,0
Canada Net-zero,Northwest Territories,Uranium,2010,0,0
Canada Net-zero,Northwest Territories,Uranium,2011,0,0
Canada Net-zero,Northwest Territories,Uranium,2012,0,0
Canada Net-zero,Northwest Territories,Uranium,2013,0,0
Canada Net-zero,Northwest Territories,Uranium,2014,0,0
Canada Net-zero,Northwest Territories,Uranium,2015,0,0
Canada Net-zero,Northwest Territories,Uranium,2016,0,0
Canada Net-zero,Northwest Territories,Uranium,2017,0,0
Canada Net-zero,Northwest Territories,Uranium,2018,0,0
Canada Net-zero,Northwest Territories,Uranium,2019,0,0
Canada Net-zero,Nova Scotia,Uranium,2005,0,0
Canada Net-zero,Nova Scotia,Uranium,2006,0,0
Canada Net-zero,Nova Scotia,Uranium,2007,0,0
Canada Net-zero,Nova Scotia,Uranium,2008,0,0
Canada Net-zero,Nova Scotia,Uranium,2009,0,0
Canada Net-zero,Nova Scotia,Uranium,2010,0,0
Canada Net-zero,Nova Scotia,Uranium,2011,0,0
Canada Net-zero,Nova Scotia,Uranium,2012,0,0
Canada Net-zero,Nova Scotia,Uranium,2013,0,0
Canada Net-zero,Nova Scotia,Uranium,2014,0,0
Canada Net-zero,Nova Scotia,Uranium,2015,0,0
Canada Net-zero,Nova Scotia,Uranium,2016,0,0
Canada Net-zero,Nova Scotia,Uranium,2017,0,0
Canada Net-zero,Nova Scotia,Uranium,2018,0,0
Canada Net-zero,Nova Scotia,Uranium,2019,0,0
Canada Net-zero,Nunavut,Uranium,2005,0,0
Canada Net-zero,Nunavut,Uranium,2006,0,0
Canada Net-zero,Nunavut,Uranium,2007,0,0
Canada Net-zero,Nunavut,Uranium,2008,0,0
Canada Net-zero,Nunavut,Uranium,2009,0,0
Canada Net-zero,Nunavut,Uranium,2010,0,0
Canada Net-zero,Nunavut,Uranium,2011,0,0
Canada Net-zero,Nunavut,Uranium,2012,0,0
Canada Net-zero,Nunavut,Uranium,2013,0,0
Canada Net-zero,Nunavut,Uranium,2014,0,0
Canada Net-zero,Nunavut,Uranium,2015,0,0
Canada Net-zero,Nunavut,Uranium,2016,0,0
Canada Net-zero,Nunavut,Uranium,2017,0,0
Canada Net-zero,Nunavut,Uranium,2018,0,0
Canada Net-zero,Nunavut,Uranium,2019,0,0
Canada Net-zero,Ontario,Uranium,2005,77969,11450
Canada Net-zero,Ontario,Uranium,2006,83457,11990
Canada Net-zero,Ontario,Uranium,2007,79750,11990
Canada Net-zero,Ontario,Uranium,2008,85832,11990
Canada Net-zero,Ontario,Uranium,2009,81395.98,11990
Canada Net-zero,Ontario,Uranium,2010,81975,11990
Canada Net-zero,Ontario,Uranium,2011,84766,11990
Canada Net-zero,Ontario,Uranium,2012,84866,11990
Canada Net-zero,Ontario,Uranium,2013,93102.99,13640
Canada Net-zero,Ontario,Uranium,2014,96195.59,13568
Canada Net-zero,Ontario,Uranium,2015,91768.98,13568
Canada Net-zero,Ontario,Uranium,2016,91142.01,13568
Canada Net-zero,Ontario,Uranium,2017,90445,12633
Canada Net-zero,Ontario,Uranium,2018,90155.01,12633
Canada Net-zero,Ontario,Uranium,2019,90454,12633
Canada Net-zero,Prince Edward Island,Uranium,2005,0,0
Canada Net-zero,Prince Edward Island,Uranium,2006,0,0
Canada Net-zero,Prince Edward Island,Uranium,2007,0,0
Canada Net-zero,Prince Edward Island,Uranium,2008,0,0
Canada Net-zero,Prince Edward Island,Uranium,2009,0,0
Canada Net-zero,Prince Edward Island,Uranium,2010,0,0
Canada Net-zero,Prince Edward Island,Uranium,2011,0,0
Canada Net-zero,Prince Edward Island,Uranium,2012,0,0
Canada Net-zero,Prince Edward Island,Uranium,2013,0,0
Canada Net-zero,Prince Edward Island,Uranium,2014,0,0
Canada Net-zero,Prince Edward Island,Uranium,2015,0,0
Canada Net-zero,Prince Edward Island,Uranium,2016,0,0
Canada Net-zero,Prince Edward Island,Uranium,2017,0,0
Canada Net-zero,Prince Edward Island,Uranium,2018,0,0
Canada Net-zero,Prince Edward Island,Uranium,2019,0,0
Canada Net-zero,Quebec,Uranium,2005,4321.58,675
Canada Net-zero,Quebec,Uranium,2006,4321.58,675
Canada Net-zero,Quebec,Uranium,2007,4321.58,675
Canada Net-zero,Quebec,Uranium,2008,3624.23,675
Canada Net-zero,Quebec,Uranium,2009,3596.28,675
Canada Net-zero,Quebec,Uranium,2010,3551.59,675
Canada Net-zero,Quebec,Uranium,2011,3525.22,675
Canada Net-zero,Quebec,Uranium,2012,4212.62,675
Canada Net-zero,Quebec,Uranium,2013,0,0
Canada Net-zero,Quebec,Uranium,2014,0,0
Canada Net-zero,Quebec,Uranium,2015,0,0
Canada Net-zero,Quebec,Uranium,2016,0,0
Canada Net-zero,Quebec,Uranium,2017,0,0
Canada Net-zero,Quebec,Uranium,2018,0,0
Canada Net-zero,Quebec,Uranium,2019,0,0
Canada Net-zero,Saskatchewan,Uranium,2005,0,0
Canada Net-zero,Saskatchewan,Uranium,2006,0,0
Canada Net-zero,Saskatchewan,Uranium,2007,0,0
Canada Net-zero,Saskatchewan,Uranium,2008,0,0
Canada Net-zero,Saskatchewan,Uranium,2009,0,0
Canada Net-zero,Saskatchewan,Uranium,2010,0,0
Canada Net-zero,Saskatchewan,Uranium,2011,0,0
Canada Net-zero,Saskatchewan,Uranium,2012,0,0
Canada Net-zero,Saskatchewan,Uranium,2013,0,0
Canada Net-zero,Saskatchewan,Uranium,2014,0,0
Canada Net-zero,Saskatchewan,Uranium,2015,0,0
Canada Net-zero,Saskatchewan,Uranium,2016,0,0
Canada Net-zero,Saskatchewan,Uranium,2017,0,0
Canada Net-zero,Saskatchewan,Uranium,2018,0,0
Canada Net-zero,Saskatchewan,Uranium,2019,0,0
Canada Net-zero,Yukon,Uranium,2005,0,0
Canada Net-zero,Yukon,Uranium,2006,0,0
Canada Net-zero,Yukon,Uranium,2007,0,0
Canada Net-zero,Yukon,Uranium,2008,0,0
Canada Net-zero,Yukon,Uranium,2009,0,0
Canada Net-zero,Yukon,Uranium,2010,0,0
Canada Net-zero,Yukon,Uranium,2011,0,0
Canada Net-zero,Yukon,Uranium,2012,0,0
Canada Net-zero,Yukon,Uranium,2013,0,0
Canada Net-zero,Yukon,Uranium,2014,0,0
Canada Net-zero,Yukon,Uranium,2015,0,0
Canada Net-zero,Yukon,Uranium,2016,0,0
Canada Net-zero,Yukon,Uranium,2017,0,0
Canada Net-zero,Yukon,Uranium,2018,0,0
Canada Net-zero,Yukon,Uranium,2019,0,0
Canada Net-zero,Alberta,Wind,2005,741,251
Canada Net-zero,Alberta,Wind,2006,921,386
Canada Net-zero,Alberta,Wind,2007,1430,525
Canada Net-zero,Alberta,Wind,2008,1473,525
Canada Net-zero,Alberta,Wind,2009,1558,591
Canada Net-zero,Alberta,Wind,2010,1629,723
Canada Net-zero,Alberta,Wind,2011,2372,865
Canada Net-zero,Alberta,Wind,2012,2601,1088
Canada Net-zero,Alberta,Wind,2013,3058,1088
Canada Net-zero,Alberta,Wind,2014,3518.87,1434
Canada Net-zero,Alberta,Wind,2015,4089,1463
Canada Net-zero,Alberta,Wind,2016,4586,1466.76
Canada Net-zero,Alberta,Wind,2017,4634,1466.76
Canada Net-zero,Alberta,Wind,2018,4119,1466.76
Canada Net-zero,Alberta,Wind,2019,4206,1466.76
Canada Net-zero,British Columbia,Wind,2005,0,0
Canada Net-zero,British Columbia,Wind,2006,0,0
Canada Net-zero,British Columbia,Wind,2007,0,0
Canada Net-zero,British Columbia,Wind,2008,0,0
Canada Net-zero,British Columbia,Wind,2009,34,102
Canada Net-zero,British Columbia,Wind,2010,123,102
Canada Net-zero,British Columbia,Wind,2011,484.6,246
Canada Net-zero,British Columbia,Wind,2012,507.98,246
Canada Net-zero,British Columbia,Wind,2013,860,388
Canada Net-zero,British Columbia,Wind,2014,1071.14,488
Canada Net-zero,British Columbia,Wind,2015,868,488
